Headline;Summary;Organization;Category;File format;Views;Tags;URL
Izglītojamo skaits vispārējās izglītības programmās un profesionālās pamatizglītības programmās pie speciālās izglītības iestādēm;"Atskaitē norādīta informācija izglītības iestāžu griezumā, norādot izglītojamo skaitu pirmsskolas izglītības programmās, vispārējās pamata un vidējās izglītības programmās (1.-12.klase) un profesionālās pamatizglītības programmās pie speciālās izglītības iestādēm. Informācija par vispārējās izglītības programmām iekļauta neatkarīgi no izglītības iestādes veida, kurā izglītības programmas tiek īstenotas. Failā pievienota arī informācija par izglītības iestādes pašvaldību, veidu, tipu, pakļautību un dibinātāju.
Avots: Valsts izglītības informācijas sistēma (VIIS), operatīvie dati.";Izglītības un zinātnes ministrija;Izglītība un sports, ;XLS, XLSX, ;17 skatījumi;2020, 2021, Bērnudārzi, IZM, Izglītības un zināt..., Klase, Programmas, Skaits, Speciālā izglītība, Vispārējā izglītība, bērni, bērnu skaits, izglītojamie, izglītība, izglītības iestādes, kods, pašvaldības, pirmsskolas, privātās pirmsskolas, profesionālā pamati..., skolas, skolēni, skolēnu skaits, statistika, ;https://data.gov.lv/dati/lv/dataset/izglitojamo-sk-visparejas-izgl-programmas-un-prof-pamatizgl-programmas-pie-spec-iestadem
Pa pašvaldībām izglītojamo skaits vispārējās izglītības programmās un profesionālās pamatizglītības programmās pie speciālās izglītības iestādēm;"Atskaitē sadalījumā pa pašvaldībām redzams izglītojamo skaits vispārējās izglītības programmās un profesionālās pamatizglītības programmās pie speciālās izglītības iestādēm. Informācija par vispārējās izglītības programmām iekļauta neatkarīgi no izglītības iestādes veida, kurā izglītības programmas tiek īstenotas.
Avots: Valsts izglītības informācijas sistēma (VIIS), operatīvie dati.";Izglītības un zinātnes ministrija;Izglītība un sports, ;XLS, XLSX, ;22 skatījumi;2020, 2021, Bērnu skaits, Bērnudārzi, IZM, Izglītojamie, Izglītība, Izglītības un zināt..., Klase, Programmas, Skaits, Speciālā izglītība, Vispārējā izglītība, bērni, izglītības iestādes, kods, pašvaldības, pirmsskolas, privātās pirmsskolas, profesionālā pamati..., skolas, skolēni, skolēnu skaits, statistika, ;https://data.gov.lv/dati/lv/dataset/izgl-sk-visp-izgl-progr-un-prof-pamatizgl-progr-pie-spec-iest-sadalijuma-pa-pasvaldibam
Vispārējās vidējās izglītības programmu absolventu mācību sasniegumi izglītības dokumentos;"Atskaitē attēlota informācija par vispārējās vidējās izglītības programmu absolventu izglītības dokumentos norādītajiem vērtējumiem mācību priekšmetos.
Informācija atrādīta par tiem mācību priekšmetiem, kuros vērtējumu saņēmuši vismaz 5% no kopējā vispārējās vidējās izglītības programmu beidzēju skaita.
Avots: Valsts izglītības informācijas sistēma (VIIS), operatīvie dati.";Izglītības un zinātnes ministrija;Izglītība un sports, ;XLSX, ;16 skatījumi;IZM, Izglītības un zināt..., Vispārējā izglītība, Vērtējumi, absolventi, beidzēji, mācību priekšmeti, mācību sasniegumi, ;https://data.gov.lv/dati/lv/dataset/visparejas-videjas-izglitibas-programmu-absolventu-macibu-sasniegumi-izglitibas-dokumentos
Akadēmiskā personāla skaits pa amatiem augstākās izglītības iestādēs;Atskaitē attēloti dati par augstākās izglītības iestādēs esošā akadēmiskā personāla skaita sadalījumu pa amatiem (amati saskaņā ar Augstskolu likuma 27.pantu). Avots: Valsts izglītības informācijas sistēma (VIIS), operatīvie dati.;Izglītības un zinātnes ministrija;Izglītība un sports, ;XLSX, ;16 skatījumi;IZM, Izglītības un zināt..., akadēmija, akadēmiskais personāls, amati, augstskola, augstākā izglītība, iestādes, izglītība, koledža, studenti, universitāte, ;https://data.gov.lv/dati/lv/dataset/akademiska-personala-skaits-pa-amatiem-augstakas-izglitibas-iestades
Pašvaldību griezumā pedagogu skaits pirmsskolas izglītības iestādēs, vispārējās pamata un vidējās izglītības iestādēs, profesionālās pamata un vidējās izglītības iestādēs un koledžās;"Dati tiek attēloti par izglītības iestādēm ar veidu ""Vispārējās izglītības iestāde"", ""Speciālās izglītības iestāde, ""Pirmsskolas izglītības iestāde"", ""Profesionālās pamata un vidējās izglītības iestāde"" un ""Augstākās izglītības iestāde"" ar tipu ""Koledža"". Tāpat jāņem vērā, ka tiek attēlots pedagoģiskais personāls, kuram uz atskaites datumu tarificētais darba likmju skaits ir lielāks par ""0"". Atskaitē norādīts pedagoģiskā personāla skaits atbilstoši izglītības iestādes juridiskajai adresei. Piemēram, izglītības iestādei, kuras juridiskā adrese ir Rīgā, bet kurai ir arī struktūrvienība Valmierā, pedagoģiskais personāls tiek attēlots pie Rīgas. Savukārt, ja persona strādā vairākās izglītības iestādēs, kas atrodas dažādās pašvaldībās, tad persona tiek atspoguļota katrā no pašvaldībām. Kolonnā ""Pedagoģiskais personāls (unikālie PK) novadā pavisam"" tiek atrādīts unikālais personu skaits pašvaldībā, neatkarīgi no izglītības iestāžu skaita/veida, kādās persona strādā. Avots: Valsts izglītības informācijas sistēma (VIIS), operatīvie dati.";Izglītības un zinātnes ministrija;Izglītība un sports, ;XLSX, ;13 skatījumi;Amati, IZM, Izglītība, Izglītības iestāde, Izglītības un zināt..., Mācībspēki, Pašvaldība, Pedagogi, Pedagoģija, Pedagoģiskais perso..., Skola, Skolotāji, ;https://data.gov.lv/dati/lv/dataset/pedagogu-skaits-vispareja-un-profesionala-izglitiba-pec-iestades-veida-pa-pasvaldibam
Valsts izglītības informācijas sistēmas klasifikatoru saturs;Datu kopā tiek attēlots Valsts izglītības informācijas sistēmu klasifikatoru saturs;Izglītības un zinātnes ministrija;Izglītība un sports, ;CSV, ;19 skatījumi;IZM, Izglītības un zināt..., VIIS, amati, interešu izglītība, klasifikators, kods, kultūrizglītība, mācībspēki, mācību priekšmets, pedagogi, pedagoģiskais perso..., pulciņi, skolotāji, sports, tehniskā jaunrade, ;https://data.gov.lv/dati/lv/dataset/valsts-izglitibas-informacijas-sistemas-klasifikatori
Izglītojamo skaits ar ilgstoši neattaisnotiem kavējumiem pašvaldību pakļautības pamata un vidējās vispārējās izglītības iestādēs un kavējumu iemesli;"Izglītojamo skaits ar ilgstoši neattaisnotiem kavējumiem pašvaldību pakļautības pamata un vidējās vispārējās izglītības iestādēs un šiem izglītojamiem atzīmētie neattaisnoto kavējumu iemesli (vienam izglītojamam var būt atzīmēti vairāki kavējumu iemesli). Par ilgstoši neattaisnotiem kavējumiem tiek uzskatīti tie, kas perioda ietvaros pārsniedz 20 stundas.
Avots: Valsts izglītības informācijas sistēma (VIIS), operatīvie dati.";Izglītības un zinātnes ministrija;Izglītība un sports, ;XLSX, ;11 skatījumi;IZM, Izglītojamie, Izglītības un zināt..., audzēkņi, izglītojamie, izglītība, kavējumi, neattaisnotie kavējumi, pašvaldība, skolas, skolēni, ;https://data.gov.lv/dati/lv/dataset/izglitojamo-skaits-ar-ilgstosi-neattaisnotiem-kavejumiem
Mājdzīvnieku skaits valstī;"Datu fails satur informāciju par katrā novadā reģistrēto mājdzīvnieku - suņu, kaķu, sesku skaitu uz 01.05.2021.
Dati par reģistrētajiem mājas ( istabas )  dzīvniekiem ir pieejami:   http://pub.ldc.gov.lv/pub_istabas_dz/pub_istabas_dz.php";Lauksaimniecības datu centrs;Zemkopība, pārtika un mežsaimniecība, ;XLSX, ;972 skatījumi;lauksaimniecība, ;https://data.gov.lv/dati/lv/dataset/majdzivnieku-skaits-valsti
Latvijas Nekustamā īpašuma tirgus statistiskie rādītāji;"Pārskati tiek aktualizēti reizi mēnesī, ievērojot aktuālo datu bāzē uzkrāto tirgus informāciju, kas tiek papildināta katru dienu. Katrs pārskats tiek piedāvāts par trīs dažādiem laika periodiem – par gadu, pusgadu un ceturksni. Izvēle par „gadu” nozīmē, ka pārskats tiek attēlots par diviem pilniem iepriekšējiem gadiem, par „pusgadu”- par diviem pilniem iepriekšējiem pusgadiem, savukārt, par „ceturksni”- par diviem pilniem iepriekšējiem ceturkšņiem. 
Gadi mainās 1. februārī, pusgadi mainās 1. februārī un 1. augustā, bet ceturkšņi – 1. februārī, 1. maijā, 1. augustā un 1. novembrī.
Latvijas Nekustamā īpašuma tirgus statistiskos rādītājus veido:

Dzīvokļu darījumu cenas;
Individuālo dzīvojamo māju darījumu cenas;
Individuālās apbūves zemes darījumu cenas;
Komerciālā rakstura apbūves zemes darījumu cenas;
Ražošanas uzņēmumu apbūves zemes darījumu cenas;
Lauksaimniecības zemes darījumu cenas;
Mežsaimniecības zemes darījumu cenas;
Darījumu sadalījums pēc darījuma objekta nekustamā īpašuma lietošanas mērķa (NĪLM);
Darījumu sadalījums pēc darījuma objekta. 

Statistiskie rādītāji:

Izmantotais darījumu skaits;
Minimālā vērtība;
Maksimālā vērtība;
Vidējā vērtība;
Nogrieztā vidējā vērtība (5%);
Nogrieztā vidējā vērtība (10%);
Moda (adaptēta visbiežāk sastopamā vērtība, kuras noteikšana balstās uz datu sadalījumu intervālos un biežumiem noteiktajos intervālos);
Mediāna;
Cenu Līmenis.

Datu kopās ar darījumu sadalījumu pēc darījuma objekta NĪLM un darījumu sadalījumu pēc darījuma objekta   tiek atspoguļots viens no statistiskiem rādītājiem (nosaukumā tiek precizēts kurš):

Darījumu skaits;
Zemes kopplatība;
Kopēja darījumu summa.

Darījuma objekti:

Izmantotais darījumu skaits;
Dzīvokļi;
Ēkas;
Ēkas un inženierbūves;
Inženierbūves;
Zeme;
Zeme ar ēkām;
Zeme ar ēkām un inženierbūvēm;
Zeme ar inženierbūvēm.

Tabulās attēlotas tikai teritorijas, kurās vērtību noteikšanai izmantojamo darījumu skaits ir vismaz trīs.
Publicētiem datiem ir informatīvs raksturs, tie sagatavoti automātiski, neveicot manuālu darījumu analīzi. VZD neuzņemas juridisku vai finansiālu atbildību par sekām, kas radušās izmantojot publicēto informāciju un veicot attiecīgus secinājumus.
Visas darījuma summas un cenas ir EUR. Informācija par iespēju iegūt datus par nekustamā īpašuma tirgus darījumiem un darījuma objektiem, pieejamas VZD tīmekļvietnē.";Valsts zemes dienests;Cits;CSV, ;909 skatījumi;Kadastrālā vērtēšana, statistika, tirgus, vzd, ;https://data.gov.lv/dati/lv/dataset/tirgus-statistika
Kopsavilkums par sagatavoto sertificēto sēklu;Apkopota informācija par Latvijā sertificēto sēklu. Sēklas partiju sertificē, izvērtējot sēklu partijas atbilstību sēklaudzēšanas un sēklu tirdzniecības noteikumos attiecīgajai kategorijai noteiktajām prasībām, pamatojoties uz lauka apskates un sēklu parauga novērtēšanas rezultātiem.;Valsts augu aizsardzības dienests;Zemkopība, pārtika un mežsaimniecība, ;XLSX, ;165 skatījumi;eļļas augi, kartupeļi, labība, lauksaimniecība, lopbarības augi, pavairojamais mater..., pavairošana, pākšaugi, sertifikācija, stiebrzāles, sugas, sēja, sēkla, sēklas, sēklaudzēšana, sēšana, taurižieži, šķiedraugi, šķirnes, ;https://data.gov.lv/dati/lv/dataset/sagatavota-sertificeta-sekla
TVP tīmekļvietņu apmeklējuma statistika, apkopojums;"Valsts un pašvaldību iestāžu tīmekļvietņu vienotajā platformā izvietoto iestāžu tīmekļvietņu apmeklējuma statistika.
Statistika neatspoguļo visus tīmekļvietņu apmeklētājus, bet tikai tos, kuri piekrituši statistikas sīkdatnēm.";Valsts kanceleja;Valsts pārvalde, ;CSV, ;67 skatījumi;;https://data.gov.lv/dati/lv/dataset/tvp-timeklvietnu-apmeklejuma-statistika-apkopojums
Tradicionālo un apdzīvoto privāto mājokļu skaits pagastos 01.01.2020. (Ekspermentālā statistika);"Datu kopā ir informācija par tradicionālo mājokļu skaitu pēc to uzcelšanas gada , mājokļa veida un labiekārtojumiem ( ūdensvads, tualete un vanna vai duša) , un personu skaitu apdzīvotos privātos mājokļos pēc mājokļa veida . Mājokļu skaits ir pagastu līmenī 01.01.2020.
Tradicionālie mājokļi ir tādas strukturāli atsevišķas un neatkarīgas telpas noteiktās atrašanās vietās, kas ir paredzētas pastāvīgai apdzīvošanai. Šajos mājokļos ietilpst savrupmājas un viensētas jeb viena dzīvokļa dzīvojamās ēkas, divu dzīvokļu dzīvojamās ēkas un dzīvokļi daudzdzīvokļu ēkās. 
Eksperimentālās statistikas aprēķināšanā izmanto jaunus datu avotus un metodes, cenšoties paplašināt statistikas klāstu vai detalizācijas līmeni atbilstoši lietotāju vajadzībām. Jāatzīmē, ka eksperimentālās statistikas metodes nav nemainīgas, aprobētas un starptautiski saskaņotas un var tikt mainītas, lai pilnveidotu datu kvalitāti. CSP publicē eksperimentālo statistiku, lai saņemtu lietotāju atsauksmes, izvērtētu datu analītisko potenciālu, atbilstību realitātei un lietotāju vajadzībām. 
Lauku skaidrojums ir aprakstīts metadatos.";Centrālā statistikas pārvalde;Iedzīvotāji un sabiedrība, Reģioni un pašvaldības, ;CSV, PDF, ;41 skatījumi;apdzīvoti mājokļi, eksperimentālā stat..., labiekārtojumi, mājokļi, tradicionāli mājokļi, ;https://data.gov.lv/dati/lv/dataset/majoklu_dati
Sertificēto būvspeciālistu nodarbinātības vēsture;Būvniecības informācijas sistēmas Būvspeciālistu reģistrā ir pieejama informācija par būvspeciālistu, kuri var darboties būvniecības jomā reglamentētajā sfērā,  nodarbinātības vēsturi. Informācija no https://bis.gov.lv;Būvniecības valsts kontroles birojs;Ekonomika un uzņēmējdarbība, ;CSV, ;568 skatījumi;Būvniecības informā..., Būvspeciālisti, būvniecība, nodarbinātība, reģistrs, ;https://data.gov.lv/dati/lv/dataset/bis_b4y1xcb7pljzaqoucnivfa
Sūdzības par būvspeciālistiem;Sūdzības par būvspeciālistiem. Informācija no https://bis.gov.lv;Būvniecības valsts kontroles birojs;Ekonomika un uzņēmējdarbība, ;CSV, ;106 skatījumi;BIS, Būvniecības informā..., Reģistrs, Sūdzības, būvspeciālisti, ;https://data.gov.lv/dati/lv/dataset/bis_geishusmpmgpiob5c93o9w
Sertificēto būvspeciālistu sertifikāti un darbības sfēras;Būvniecības informācijas sistēmas Būvspeciālistu reģistrā ir pieejama informācija par būvspeciālistiem, kuri var darboties būvniecības jomā reglamentētajā sfērā. Sertificēto būvspeciālistu sertifikāti un darbības sfēras. Informācija no https://bis.gov.lv;Būvniecības valsts kontroles birojs;Ekonomika un uzņēmējdarbība, ;CSV, ;1042 skatījumi;BIS, Būvniecības informā..., Reģistrs, būvspeciālisti, ;https://data.gov.lv/dati/lv/dataset/bis_tbsinntysqd_qjz6vpe_tw
Būvniecības lietas (jaunbūves) ģeotelpiskie dati un to aprakstošā informācija;Jaunbūvju ģeotelpiskie dati. Informācija no https://bis.gov.lv;Būvniecības valsts kontroles birojs;Ekonomika un uzņēmējdarbība, ;CSV, ;212 skatījumi;BIS, jaunbūves, ģeotelpiskie dati, ;https://data.gov.lv/dati/lv/dataset/bis_04lylzfvt9f25h4divvcfq
Dzīvojamo māju pārvaldnieku saraksts;Dzīvojamo māju pārvaldnieku saraksts. Informācija no https://bis.gov.lv;Būvniecības valsts kontroles birojs;Cits;CSV, ;102 skatījumi;;https://data.gov.lv/dati/lv/dataset/bis_weuhnvr_k8e3rwlpgxswea
Dzīvojamo māju pārvaldnieku statusu izmaiņu vēsture;Būvniecības informācijas sistēmas Dzīvojamo māju pārvaldnieku reģistrā ir pieejama informācija par dzīvojamo māju pārvaldnieku statusu izmaiņu vēsturi. Informācija no https://bis.gov.lv;Būvniecības valsts kontroles birojs;Ekonomika un uzņēmējdarbība, ;CSV, ;183 skatījumi;BIS, Dzīvojamā māja, Pārvaldnieki, Reģistri, ;https://data.gov.lv/dati/lv/dataset/bis_cctfvk4-eekiuykkpybf7q
Dzīvojamo māju pārvaldnieku nodarbinātie darbinieki;Būvniecības informācijas sistēmas Dzīvojamo māju pārvaldnieku reģistrā ir pieejama informācija dzīvojamo māju pārvaldnieku nodarbinātiem darbiniekiem. Informācija no https://bis.gov.lv;Būvniecības valsts kontroles birojs;Reģioni un pašvaldības, ;CSV, ;638 skatījumi;BIS, Būvniecība, Dzīvojamā māja, Nodarbinātie, Pārvaldnieki, ;https://data.gov.lv/dati/lv/dataset/bis_zywoxtxtegjtfm_5bqx2tw
Neatkarīgo ekspertu sertifikātu statusu izmaiņu vēsture;Neatkarīgo ekspertu sertifikātu statusu izmaiņu vēsture. Informācija no Būvniecības informācijas sistēmas;Būvniecības valsts kontroles birojs;Cits;CSV, ;47 skatījumi;Būvniecības informā..., Neatkarīgie eksperti, Sertifikāti, ;https://data.gov.lv/dati/lv/dataset/bis_bzhhgiyj2xj_grt6i5fygg
Neatkarīgo ekspertu ēku energoefektivitātes jomā saraksts;"Neatkarīgo ekspertu sertifikāti. Informācija no BIS.
Ja vēlaties pirkt, pārdot, īrēt vai izīrēt, nomāt vai iznomāt, renovēt ēku (dažādu veidu viendzīvokļa ēka vai divdzīvokļu ēka, daudzdzīvokļu māja, biroju ēka, izglītības iestāžu ēka, ambulatoro vai stacionāro ārstniecības iestāžu ēka, viesnīcu un restorānu ēka, sporta iestāžu ēka, vairumtirdzniecības vai mazumtirdzniecības pakalpojumu ēka, cita veida ēka, kurā tiek patērēta enerģija), noskaidrojiet ēkas energoefektivitāti. Ja vēlaties pārbaudīt apkures sistēmas un gaisa kondicionēšanas sistēmas, sazinieties ar kompetentiem ekspertiem. Neatkarīgo ekspertu reģistrā ēku energoefektivitātes jomā ir izveidota meklēšanas funkcija, kas ļauj atrast informāciju par neatkarīgiem ekspertiem (energoauditoriem), kuri ir tiesīgi noteikt ekspluatējamās ēkas vai tās daļas energoefektivitāti un izsniegt ēkas energosertifikātu vai noteikt projektējamas, rekonstruējamas vai renovējamas ēkas vai tās daļas plānoto energoefektivitāti un izsniegt ēkas pagaidu energosertifikātu, kā arī pārbaudīt apkures sistēmas un gaisa kondicionēšanas sistēmas. Minēto funkciju var izmantot jebkurš interesents.";Būvniecības valsts kontroles birojs;Cits;CSV, ;75 skatījumi;BIS, Neatkarīgie eksperti, Sertifikāti, ;https://data.gov.lv/dati/lv/dataset/bis_kztiqf7nhpsnv5fquq2qpq
